#	t/s	    mbar
	10	    487,2
	20		374,6
	30	    270,1
	40	    199,4
	50	    149,6
	60	    108,7
	70	    79,6
	80	    58	
	90	    41,9
	100	    30,4
	110	    22,1
	120	    16,1
	130	    11,8
	140	    8,7	
	150	    6,2	
	160	    4,6	
	170	    3,7	
	180	    2,7	
	190	    2,3	
	200	    1,9	
	210	    1,6	
	220	    1,4	
	230	    1,2	
	240	    1,1	
	250	    0,96
	260	    0,87
	270	    0,79
	280	    0,72
	290	    0,65
	300	    0,6 
	310	   0,57
	320	   0,53
	330	   0,5
	340	   0,46
	350	   0,43
	360	   0,41
	370	   0,39
	380	   0,37
	390	   0,37
	400	   0,34
	410	   0,32
	420	   0,3
	430	   0,29
	440	   0,27
	450	   0,27
	460	   0,26
	470	   0,25
	480	   0,24
	490	   0,23
	500	   0,22
	510	   0,21
	520	   0,2
	530	   0,19
	540	   0,18
	550	   0,18
	560	   0,17
	570	   0,17
	580	   0,16
	590	   0,15
	600	   0,15
