# t/s   p1     p2      p3 
#      10^-5  10^-5   10^-5 
5	   49.4	   49.5	 47.5
10	   14.6	   15  	 13.6
15	   7.77	   7.66	 7.1
20	   5.5	   5.44	 4.74
25	   4.79	   4.48	 4.04
30	   4.5	   4.06	 3.66
35	   4.29	   3.81	 3.32
40	   4.14	   3.62	 3.16
45	   4.01	   3.46	 3.02
50	   3.91	   3.2	 2.91
55	   9.82	   3.1	 2.81
60	   9.76	   3.01	 2.73
65	   3.69	   2.93	 2.66
70	   3.63	   2.86	 2.59
75	   3.57	   2.8	 2.53
80	   3.51	   2.75	 2.48
85	   2.47	   2.7	 2.43
90	   3.42	   2.65	 2.39
95	   3.38	   2.61	 2.35
100   3.34	   2.57	 2.31
105   3.3	   2.54	 2.28
110   3.27	   2.51	 2.25
115   3.23	   2.48	 2.22
120   3.09	   2.45	 2.2
