#Zeit	p=5*10^(-5)	p=7*10^-5	p=1*10^-4	p=2*10^-4
# s	    10^-4  	    10^-4	    10^-4	    10^-4
10	    1,27	    2,03	    2,99	    3,99
20	    1,98	    3,39	    3,27	    6,23
30	    2,69	    3,23	    4,53	    9,13
40	    2,33	    4,1	        5,51	    12,6
50	    2,69	    4,99	    6,57	    15,9
60	    3,01	    5,43	    7,86	    19,3
70	    3,38	    6,17	    9,35	    22,8
80	    3,78	    6,98	    10,9	    26,5
90	    4,16	    7,88	    12,6	    30,4
100	    4,48	    8,91	    14,2	    35,1
110	    4,86	    9,95	    15,8	    39,3
120	    5,16	    11  	    17,2	    43,8
